,year,iso3c,country,pop,labor_force,gdp_ppp_c,gdp_ppp,gdp,gdp_c,hours_worked,total_hours,hours_per_employed,gdp_over_k_hours_worked,gdp_ppp_over_k_hours_worked,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_labor_force,gdp_ppp_over_pop_c,gdp_over_pop_c,gdp_ppp_over_k_hours_worked_c,continent,penn_hours_worked_over_pop,hours_worked_over_pop,hours_worked_over_pop_combined,hours_worked_over_pop_predicted,hours_worked_over_pop_modelled
16121,2020,EST,Estonia,1329522.0,700236.0,47707590681.7716,52438806078.4375,31370395572.7653,26747463292.8629,1637.15602832168,1044341830.2612,1637.156028,30038.436327805863,50212.300761065984,23595.243683643672,39441.849084435984,74887.3323828502,35883.26532526096,20118.10507299834,45681.96858478748,4.0,,785.5017293893594,785.5017293893594,769.8311944599774,785.5017293893594
16125,2020,FIN,Finland,5529543.0,2751071.0,261941184514.967,289224346372.273,271886077382.097,248745023487.891,1529.94896559755,4014280096.9908,1529.948966,67729.72259357519,72048.87037879655,49169.719338848976,52305.28931093818,105131.54563160056,47371.21756987277,44984.73445054881,65252.34367958637,4.0,,725.9695958582472,725.9695958582472,769.8268824736707,725.9695958582472
16127,2020,FRA,France,67571107.0,30379167.0,2853739994865.15,3252532518722.9,2639008701648.21,2413104454442.24,1402.64350837515,39692005989.384,1402.643508,66487.1587078274,81944.27158941829,39055.28292807472,48134.95979461902,107064.57220248666,42233.13960011266,35712.075198682774,71897.09675112941,4.0,,587.410917944322,587.410917944322,692.8348610252581,587.410917944322
16131,2020,GBR,United Kingdom,67081234.0,34633314.0,2800039227021.69,3077152196648.91,2704609160088.15,2824026234231.55,1364.3828915919,44354260910.227615,1364.382892,60977.43721989281,69376.69873198928,40318.41692250548,45872.02728931478,88849.48742268528,41741.02144605285,42098.60293016598,63128.97948381845,4.0,,661.2022210299175,661.2022210299175,725.5634226578887,661.2022210299175
16139,2020,GRC,Greece,10698599.0,4643796.0,289969915647.696,304016994199.255,188925995936.803,185552328472.832,1731.88831125499,8082137369.187881,1731.888311,23375.74670000776,37615.91523527935,17658.947301118867,28416.523901798264,65467.344861672434,27103.54090733712,17343.60998789019,35877.87517113596,4.0,,755.438854114252,755.438854114252,769.8311944599774,755.438854114252
16148,2020,HRV,Croatia,4047680.0,1772376.0,109068293286.491,120176241249.09,57624938982.3606,52817141298.3946,1727.81504982278,3072290000.6227,1833.6217,18756.34753577333,39116.17758243277,14236.535245464218,29690.153680402105,67805.16168639724,26945.878450492877,13048.744292630494,35500.65041528786,4.0,,759.0249230726489,759.0249230726489,769.8311944599774,759.0249230726489
16150,2020,HUN,Hungary,9750149.0,4724407.0,304517639122.721,333161833592.859,157227094449.074,140699299222.253,1657.1,7726684000.330152,1657.071117,20348.586074227427,43118.345926742106,16125.609408540731,34169.922284557804,70519.2913296545,31232.101080990764,14430.476828841587,39411.16772857663,4.0,,792.4682997490758,792.4682997490758,769.8311944599774,792.4682997490758
16162,2020,ISL,Iceland,366463.0,218866.0,18924659466.183,19900371633.6411,21553080483.8132,19218185222.8924,1446.23962655602,278835000.0856,1446.239627,77296.89772516575,71369.70476278751,58813.79698308752,54303.90416942802,90924.91128654566,51641.39208100954,52442.36177429208,67870.45909004712,4.0,,760.8817263560031,760.8817263560031,795.9344488687565,760.8817263560031
16163,2020,ISR,Israel,9215100.0,4086174.0,365661304061.927,370624581344.699,413267669231.522,351802608893.272,1779.0097220193,7427901999.919396,1779.009722,55637.20001098649,49896.266987464405,44846.79159548155,40219.2685206562,90702.10454686926,39680.66587035702,38176.75433725863,49228.07329255219,3.0,,806.0576662129978,806.0576662129978,840.0159318582812,806.0576662129978
16164,2020,ITA,Italy,59438851.0,25126337.0,2323548259884.7,2564453944595.49,1897210466667.52,1745923826171.76,1543.11731400339,38510189999.915405,1543.117314,49265.15466871723,66591.56822132332,31918.693493377257,43144.40641854753,102062.38754958552,39091.40605501779,29373.445091860205,60335.9334215127,4.0,,647.8959359412147,647.8959359412147,763.632318196335,647.8959359412147
16167,2020,JPN,Japan,126261000.0,68953988.0,5049124184458.25,5263052865582.27,5048789595589.43,4369042849289.97,1597.01083424708,109019944583.01,1597.010834,46310.69677113236,48276.055227443954,39986.92862870902,41683.9155842443,76327.02644526187,39989.5786066818,34603.26505643049,46313.76583221196,3.0,,863.4490823216195,863.4490823216195,902.3041376863908,863.4490823216195
16174,2020,KOR,"Korea, Rep.",51836239.0,28597159.0,2197688684965.63,2316806897906.4,1644312785467.12,1626230918329.23,1908.0,51192823997.8314,1902.774798,32119.985909290244,45256.47770485456,31721.29801830569,44694.73369598438,81015.28189938028,42396.7619441995,31372.471261451472,42929.62398516494,3.0,,987.5875446486656,987.5875446486656,1012.755072565812,987.5875446486656
16189,2020,LTU,Lithuania,2794885.0,1486169.0,103875523354.661,112288585522.387,56914826860.6918,48187437422.3613,1594.92569904759,2179930091.0619087,1594.925699,26108.556000971068,51510.17731384583,20363.924405008365,40176.46004124928,75555.73122732811,37166.29605678266,17241.29523123896,47650.85072249273,4.0,,779.971301524717,779.971301524717,769.8311944599774,779.971301524717
16190,2020,LUX,Luxembourg,630419.0,322041.0,70450152094.2388,75656715511.4929,73992591285.3017,65644422263.398,1408.22588854016,664063000.21684,1408.225889,111424.05353278304,113930.0269504374,117370.49690015956,120010.2083082726,234928.8305262153,111751.31475136188,104128.24211103728,106089.56088689528,4.0,,1053.3676812038343,1053.3676812038343,1060.740615330964,1053.3676812038343
16191,2020,LVA,Latvia,1900449.0,988585.0,58093878707.0164,62750211279.859,34601740323.338,30077290109.2039,1576.93028785356,1383100324.720192,1576.930288,25017.520207970523,45369.240508676536,18207.13964086276,33018.624167162074,63474.77584614272,30568.501815632204,15826.412657852909,42002.6498936504,4.0,,727.7755544717022,727.7755544717022,769.8311944599774,727.7755544717022
16222,2020,NLD,Netherlands,17441500.0,9502134.0,946637465636.71,1043402056859.01,909793466661.466,807597591789.77,1407.90304043465,13475039995.84,1407.90304,67516.93998254079,77432.20481580225,52162.57011503976,59822.9542676381,109807.12931000658,54275.00304656767,46303.21886246997,70251.18039938694,4.0,,772.5849265166413,772.5849265166413,760.2139960697108,772.5849265166413
16223,2020,NOR,Norway,5379475.0,2832047.0,343082263509.045,350366133026.527,367633418886.627,405005642244.497,1409.74212034384,3935999999.04,1409.74212,93402.79953665996,89015.78585162148,68340.01810337012,65130.17218716082,123714.80170580748,63776.1609653442,75287.20595308967,87165.20924611879,4.0,,731.6699118482752,731.6699118482752,744.8189495438219,731.6699118482752
16226,2020,NZL,New Zealand,5090200.0,2893601.0,214053807954.156,231883719647.034,212569779569.515,201612025314.249,1739.0,4680518500.0,1739.0,45415.86141995059,49542.314520716885,41760.59478399965,45554.93293918392,80136.72916446808,42052.14096777258,39607.8789270066,45732.92637432285,5.0,,919.5156378924208,919.5156378924208,915.5397821737428,919.5156378924208
